gbifID,latitude,longitude,scientificName
2646445871,52.368667,13.610466,Trifolium repens L.
2620141589,49.912827,11.620725,Equisetum sylvaticum L.
2331508510,50.013145,8.920383,Vicia cracca L.
1038462774,51.377312,12.280698,Acer campestre L.
2646874422,52.128752,9.935073,Berberis aquifolium Pursh
2329968225,52.005089,9.863755,Scabiosa columbaria subsp. columbaria
3410662413,52.173603,7.957435,Euonymus europaeus L.
2649577569,50.81605,12.965387,Quercus rubra L.
2646518416,50.936837,6.903676,Geum urbanum L.
2850599735,50.172531,8.626638,Cornus sanguinea L.
2283923048,48.848511,9.402703,Epilobium palustre L.
1668737325,51.473686,9.707174,Carex acutiformis Ehrh.
2648041420,50.872629,7.029239,Isatis tinctoria L.
2646752688,47.766877,8.775586,Parthenocissus quinquefolia (L.) Planch.
1338219290,47.697517,10.137892,"Conocephalum salebrosum Szweyk., Buczk. & Odrzyk."
2975045588,53.525357,10.30812,Alliaria petiolata (M.Bieb.) Cavara & Grande
2329594521,49.995739,9.716055,Primula veris L.
2648373615,47.59182,7.61936,Malva alcea L.
2643764772,50.217744,8.26539,Campanula rapunculus L.
1677163306,51.979515,7.53875,Galeopsis tetrahit L.
3716865477,51.333664,6.826661,Herniaria glabra L.
2977265392,51.369601,7.486233,Alliaria petiolata (M.Bieb.) Cavara & Grande
2329586608,48.923981,10.457093,Prunus domestica L.
3387876042,47.754814,12.914621,Impatiens glandulifera Royle
2974520276,50.794871,7.211061,Antirrhinum majus L.
2647543713,51.382137,9.528145,Polygonum aviculare L.
2976276187,51.294028,12.205651,Reynoutria sachalinensis (F.Schmidt) Nakai
1850904697,50.628443,12.944654,Viola tricolor L.
2977051232,52.531512,13.371734,Fagus sylvatica L.
2648806673,50.226217,8.873086,Ligustrum vulgare L.
2977783570,50.004406,8.585981,"Pilosella officinarum F.W.Schultz & Sch.Bip., 1862"
3302277532,50.100317,8.707854,Vicia sativa L.
2649137277,53.931902,9.523134,Prunus avium (L.) L.
